Dx,Dy,Fz,Load_Case
2.808,0,0,transition
4.114,0,-600,transition
9.689,0,-600,LC2a
-4.57,0,-600,LC2a
9.737,0,-600,LC2a
-4.604,0,-600,LC2a
4.162,0,-600,LC2a
2.248,0,-300,transition
12.131,0,-300,LC2b
-7.637,0,-300,LC2b
12.134,0,-300,LC2b
-7.631,0,-300,LC2b
-2.373,0,-300,LC2b
-2.782,0,-750,transition
4.619,0,-750,LC3a
1,0,-750,LC3a
0.75,0.25,-750,LC3a
4.597,1.841,-750,LC3a
0.75,0.25,-750,LC3a
0.5,0.5,-750,LC3a
3.935,3.932,-750,LC3a
0.5,0.5,-750,LC3a
0.25,0.75,-750,LC3a
2.362,5.851,-750,LC3a
0.25,0.75,-750,LC3a
0,1,-750,LC3a
0,6.584,-750,LC3a
0,1,-750,LC3a
-0.25,0.75,-750,LC3a
-1.763,4.4,-750,LC3a
-0.25,0.75,-750,LC3a
-0.5,0.5,-750,LC3a
-3.426,3.424,-750,LC3a
-0.5,0.5,-750,LC3a
-0.75,0.25,-750,LC3a
-4.246,1.698,-750,LC3a
-0.75,0.25,-750,LC3a
-1,0,-750,LC3a
-3.512,0,-750,LC3a
-1,0,-750,LC3a
-0.75,-0.25,-750,LC3a
-2.723,-1.068,-750,LC3a
-0.75,-0.25,-750,LC3a
-0.5,-0.5,-750,LC3a
-1.967,-1.965,-750,LC3a
-0.5,-0.5,-750,LC3a
-0.25,-0.75,-750,LC3a
-1.267,-3.200,-750,LC3a
-0.25,-0.75,-750,LC3a
0,-1,-750,LC3a
0,-4.495,-750,LC3a
0,-1,-750,LC3a
0.25,-0.75,-750,LC3a
1.286,-3.252,-750,LC3a
0.25,-0.75,-750,LC3a
0.5,-0.5,-750,LC3a
2.55,-2.55,-750,LC3a
0.5,-0.5,-750,LC3a
0.75,-0.25,-750,LC3a
3.667,-1.458,-750,LC3a
0.75,-0.25,-750,LC3a
1,0,-750,LC3a
0.55,0,-450,transition
5.685,0,-450,LC3b
2,0,-450,LC3b
1.5,0.5,-450,LC3b
5.095,1.989,-450,LC3b
1.5,0.5,-450,LC3b
1,1,-450,LC3b
3.965,3.965,-450,LC3b
1,1,-450,LC3b
0.5,1.5,-450,LC3b
2.577,6.512,-450,LC3b
0.5,1.5,-450,LC3b
0,2.0,-450,LC3b
0,9.02,-450,LC3b
0,2.0,-450,LC3b
-0.5,1.5,-450,LC3b
-2.216,5.647,-450,LC3b
-0.5,1.5,-450,LC3b
-1,1,-450,LC3b
-4.519,4.517,-450,LC3b
-1,1,-450,LC3b
-1.5,0.5,-450,LC3b
-6.29,2.484,-450,LC3b
-1.5,0.5,-450,LC3b
-2,0,-450,LC3b
-7.252,0,-450,LC3b
-2,0,-450,LC3b
-1.5,-0.5,-450,LC3b
-5.972,-2.353,-450,LC3b
-1.5,-0.5,-450,LC3b
-1,-1,-450,LC3b
-4.430,-4.428,-450,LC3b
-1,-1,-450,LC3b
-0.5,-1.5,-450,LC3b
-2.618,-6.611,-450,LC3b
-0.5,-1.5,-450,LC3b
0,-2,-450,LC3b
0,-8.057,-450,LC3b
0,-2,-450,LC3b
0.5,-1.5,-450,LC3b
2.015,-5.154,-450,LC3b
0.5,-1.5,-450,LC3b
1,-1,-450,LC3b
3.972,-3.971,-450,LC3b
1,-1,-450,LC3b
1.5,-0.5,-450,LC3b
5.124,-2.000,-450,LC3b
1.5,-0.5,-450,LC3b
2,0,-450,LC3b
2.0,0,-150,transition
14.33,0,-150,LC3c
4,0,-150,LC3c
3,1,-150,LC3c
13.52,5.356,-150,LC3c
3,1,-150,LC3c
2,2,-150,LC3c
11.7,11.7,-150,LC3c
2,2,-150,LC3c
1,3,-150,LC3c
4.895,12.4,-150,LC3c
1,3,-150,LC3c
0,4,-150,LC3c
0,12.46,-150,LC3c
0,4,-150,LC3c
-1,3,-150,LC3c
-4.713,11.97,-150,LC3c
-1,3,-150,LC3c
-2,2,-150,LC3c
-10.09,10.09,-150,LC3c
-2,2,-150,LC3c
-3,1,-150,LC3c
-13.97,5.541,-150,LC3c
-3,1,-150,LC3c
-4,0,-150,LC3c
-13.86,0,-150,LC3c
-6,0,-150,LC3c
-4.5,-1.5,-150,LC3c
-14.03,-5.447,-150,LC3c
-4.5,-1.5,-150,LC3c
-3,-3,-150,LC3c
-12.68,-12.68,-150,LC3c
-3,-3,-150,LC3c
-1.5,-4.5,-150,LC3c
-4.678,-12.17,-150,LC3c
-1.5,-4.5,-150,LC3c
0,-6,-150,LC3c
0,-11.96,-150,LC3c
0,-6,-150,LC3c
1.5,-4.5,-150,LC3c
4.045,-10.64,-150,LC3c
1.5,-4.5,-150,LC3c
3,-3,-150,LC3c
8.137,-8.136,-150,LC3c
3,-3,-150,LC3c
4.5,-1.5,-150,LC3c
12.69,-4.893,-150,LC3c
4.5,-1.5,-150,LC3c
6,0,-150,LC3c
8.474,0,-150,LC3c
