Dx,Dy,Fz,Load_Case
0,0,0,transition
-0.09,-1.88,0,transition
-0.21,-2.26,-300,LC2a
1.39,3.49,-300,LC2a
-1.23,-5.47,-300,LC2a
1.40,3.70,-300,LC2a
-1.23,-5.46,-300,LC2a
0.00,-1.26,-300,LC2a
0.00,-1.27,-150,transition
2.48,7.44,-150,LC2b
-1.76,-7.39,-150,LC2b
2.99,9.22,-150,LC2b
-1.76,-7.40,-150,LC2b
0.00,-1.26,-150,LC2b
0.00,0.00,-150,transition
0.00,0.00,-375,transition
3.807,0,-375,LC3a
1,0,-375,LC3a
0.5,0.5,-375,LC3a
2.054,2.054,-375,LC3a
0.5,0.5,-375,LC3a
0,1,-375,LC3a
0,2.718,-375,LC3a
0,1,-375,LC3a
-0.5,0.5,-375,LC3a
-2.11,2.11,-375,LC3a
-0.5,0.5,-375,LC3a
-1,0,-375,LC3a
-3.86,0,-375,LC3a
-1,0,-375,LC3a
-0.5,-0.5,-375,LC3a
-2.96,-2.96,-375,LC3a
-0.5,-0.5,-375,LC3a
0,-1,-375,LC3a
0,-4.177,-375,LC3a
0,-1,-375,LC3a
0.5,-0.5,-375,LC3a
2.945,-2.944,-375,LC3a
0.5,-0.5,-375,LC3a
1,0,-375,LC3a
1,0,-225,transition
1.59,0,-225,transition
6.142,0,-225,LC3b
2,0,-225,LC3b
1,1,-225,LC3b
4.413,4.413,-225,LC3b
1,1,-225,LC3b
0,2,-225,LC3b
0,7.274,-225,LC3b
0,2,-225,LC3b
-1,1,-225,LC3b
-4.299,4.299,-225,LC3b
-1,1,-225,LC3b
-2,0,-225,LC3b
-6.508,0,-225,LC3b
-2,0,-225,LC3b
-1,-1,-225,LC3b
-3.972,-3.972,-225,LC3b
-1,-1,-225,LC3b
0,-2,-225,LC3b
0,-7.00,-225,LC3b
0,-2,-225,LC3b
1,-1,-225,LC3b
4.77,-4.77,-225,LC3b
1,-1,-225,LC3b
2,0,-225,LC3b
2,0,-75,transition
11.94,0,-75,LC3c
5,0,-75,LC3c
2.5,2.5,-75,LC3c
7.489,7.489,-75,LC3c
2.5,2.5,-75,LC3c
0,5,-75,LC3c
0,11.69,-75,LC3c
0,5,-75,LC3c
-2.5,2.5,-75,LC3c
-8.484,8.484,-75,LC3c
-2.5,2.5,-75,LC3c
-5,0,-75,LC3c
-12.49,0,-75,LC3c
-5,0,-75,LC3c
-2.5,-2.5,-75,LC3c
-8.137,-8.137,-75,LC3c
-2.5,-2.5,-75,LC3c
0,-5,-75,LC3c
0,-10.73,-75,LC3c
0,-5,-75,LC3c
2.5,-2.5,-75,LC3c
8.979,-8.979,-75,LC3c
2.5,-2.5,-75,LC3c
5,0,-75,LC3c
0,0,-75,LC3c

