Load_Case,Time_Stamp
LC2a,2008-11-24 09:33:04.340
LC2a,2008-11-24 09:42:14.340
LC2a,2008-11-24 09:58:51.340
LC2a,2008-11-24 10:06:07.340
LC2b,2008-11-24 10:27:30.340
LC2b,2008-11-24 10:42:46.340
LC2b,2008-11-24 10:58:48.340
LC2b,2008-11-24 11:19:33.340
LC3a,2008-11-24 11:56:40.340
LC3a,2008-11-24 12:08:32.340
LC3a,2008-11-24 12:19:17.340
LC3a,2008-11-24 12:30:00.340
LC3a,2008-11-24 12:38:42.340
LC3a,2008-11-24 12:47:09.340
LC3a,2008-11-24 13:10:19.340
LC3b,2008-11-24 13:59:02.340
LC3b,2008-11-24 14:23:30.340
LC3b,2008-11-24 14:39:37.340
LC3b,2008-11-24 14:55:41.340
LC3b,2008-11-24 15:13:19.340
LC3b,2008-11-24 15:29:03.340
LC3b,2008-11-24 15:41:43.340
LC3b,2008-11-24 16:02:56.340
