Dx,Dy,Fz,Load_Case
-0.114,0.452,0,transition
-0.140,0.452,-1000,transition
-5.009,0.452,-1000,LC2a
4.368,0.452,-1000,LC2a
-5.078,0.452,-1000,LC2a
4.509,0.452,-1000,LC2a
1.174,0.452,-1000,LC2a
0.882,0.452,-500,transition
-7.945,0.452,-500,LC2b
7.365,0.452,-500,LC2b
-7.970,0.452,-500,LC2b
-7.863,0.452,-500,LC2b
4.574,0.452,-500,LC2b
4.776,0.452,-750,transition
8.176,0.236,-750,LC3a
1.839,0,-750,LC3a
0.839,1,-750,LC3a
5.079,5.238,-750,LC3a
0.839,1,-750,LC3a
-0.161,2,-750,LC3a
-0.161,4.75,-750,LC3a
-0.161,2,-750,LC3a
-1.161,1,-750,LC3a
-3.578,3.416,-750,LC3a
-1.161,1,-750,LC3a
-2.161,0,-750,LC3a
-5.807,0,-750,LC3a
-2.161,0,-750,LC3a
-1.161,-1,-750,LC3a
-3.346,-3.187,-750,LC3a
-1.161,-1,-750,LC3a
-0.161,-2,-750,LC3a
-0.161,-7.055,-750,LC3a
-0.161,-2,-750,LC3a
0.839,-1,-750,LC3a
3.035,-3.198,-750,LC3a
0.839,-1,-750,LC3a
1.839,0,-750,LC3a
1.255,0,-750,transition
12.37,0,-750,LC3b
3.839,0,-750,LC3b
1.839,2,-750,LC3b
6.145,6.304,-750,LC3b
1.839,2,-750,LC3b
-0.161,4,-750,LC3b
-0.161,9.782,-750,LC3b
-0.161,4,-750,LC3b
-2.161,2,-750,LC3b
-6.669,6.509,-750,LC3b
-2.161,2,-750,LC3b
-4.161,0,-750,LC3b
-11.19,0,-750,LC3b
-4.161,0,-750,LC3b
-2.161,-2,-750,LC3b
-5.97,-5.81,-750,LC3b
-2.161,-2,-750,LC3b
-0.161,-4,-750,LC3b
-0.161,-12.09,-750,LC3b
-0.161,-4,-750,LC3b
1.839,-2,-750,LC3b
6.827,-6.986,-750,LC3b
1.839,-2,-750,LC3b
3.839,0,-750,LC3b
