Dx,Dy,Fz,Load_Case
0.48,-0.62,0,transition
0.41,-0.59,-200,transition
2.01,-2.39,-200,LC2a
-2.01,2.39,-200,LC2a
4.01,-4.78,-200,LC2a
-4.01,4.78,-200,LC2a
6.02,-7.17,-200,LC2a
-6.02,7.18,-200,LC2a
7.98,-9.51,-200,LC2a
7.98,-9.51,-156,LC2a
0.00,0.00,-156,LC2a
0.00,0.00,-100,transition
2.01,-2.40,-100,LC2b
-2.01,2.39,-100,LC2b
4.01,-4.79,-100,LC2b
-4.01,4.79,-100,LC2b
6.03,-7.17,-100,LC2b
-6.02,7.17,-100,LC2b
7.98,-9.51,-100,LC2b
-8.02,9.56,-100,LC2b
9.42,-11.23,-100,LC2b
-9.51,11.33,-100,LC2b
9.96,-11.87,-100,LC2b
0.00,0.00,-100,LC2b
0.00,0.00,-150,transition
3.12,0.00,-150,LC3a
3.12,3.12,-150,LC3a
0.00,3.12,-150,LC3a
0.00,-3.12,-150,LC3a
-3.12,-3.12,-150,LC3a
-3.12,0.00,-150,LC3a
6.24,0.00,-150,LC3a
6.24,6.24,-150,LC3a
0.00,6.24,-150,LC3a
0.00,-6.24,-150,LC3a
-6.24,-6.24,-150,LC3a
-6.24,0.00,-150,LC3a
9.36,0.00,-150,LC3a
9.39,9.36,-150,LC3a
0.00,9.36,-150,LC3a
0.00,-9.36,-150,LC3a
-9.36,-9.36,-150,LC3a
-9.36,0.00,-150,LC3a
12.48,0.00,-150,LC3a
12.48,11.16,-150,LC3a
0.00,11.16,-150,LC3a
0.00,-12.11,-150,LC3a
-12.48,-12.11,-150,LC3a
-12.48,0.00,-150,LC3a
0.00,0.00,-150,LC3a
0.00,0.00,-50,transition
3.12,0.00,-50,LC3b
3.12,3.12,-50,LC3b
0.00,3.12,-50,LC3b
0.00,-3.12,-50,LC3b
-3.12,-3.12,-50,LC3b
-3.12,0.00,-50,LC3b
6.24,0.00,-50,LC3b
6.24,6.24,-50,LC3b
0.00,6.24,-50,LC3b
0.00,-6.24,-50,LC3b
-6.24,-6.24,-50,LC3b
-6.24,0.00,-50,LC3b
9.36,0.00,-50,LC3b
9.36,9.36,-50,LC3b
0.00,9.36,-50,LC3b
0.00,-9.36,-50,LC3b
-9.36,-9.36,-50,LC3b
-9.36,0.00,-50,LC3b
12.48,0.00,-50,LC3b
12.48,11.28,-50,LC3b
0.00,11.28,-50,LC3b
0.00,-12.14,-50,LC3b
-12.48,-12.14,-50,LC3b
-12.48,0.00,-50,LC3b
0.00,0.00,-50,LC3b
