Load_Case,Time_Stamp
LC2a,2008-10-31 12:32:46.001
LC2a,2008-10-31 12:42:46.001
LC2a,2008-10-31 12:55:33.001
LC2a,2008-10-31 13:10:23.001
LC2b,2008-10-31 13:39:11.001
LC2b,2008-10-31 13:57:29.001
LC2b,2008-10-31 14:13:15.001
LC2b,2008-10-31 14:38:30.001
LC3a,2008-10-31 15:40:33.001
LC3a,2008-10-31 15:52:34.001
LC3a,2008-10-31 16:04:13.001
LC3a,2008-11-03 09:11:57.584
LC3a,2008-11-03 09:21:22.584
LC3a,2008-11-03 09:29:06.584
LC3a,2008-11-03 09:38:08.584
LC3a,2008-11-03 09:46:40.584
LC3a,2008-11-03 09:54:49.584
LC3a,2008-11-03 10:02:40.584
LC3a,2008-11-03 10:11:22.584
LC3a,2008-11-03 10:20:12.584
LC3a,2008-11-03 10:29:35.584
LC3a,2008-11-03 10:45:37.584
LC3a,2008-11-03 10:54:12.584
LC3a,2008-11-03 11:03:03.584
LC3b,2008-11-03 11:24:19.584
LC3b,2008-11-03 11:37:26.584
LC3b,2008-11-03 11:49:34.584
LC3b,2008-11-03 12:02:09.584
LC3b,2008-11-03 12:14:12.584
LC3b,2008-11-03 12:25:46.584
LC3b,2008-11-03 12:37:01.584
LC3b,2008-11-03 12:49:01.584
LC3b,2008-11-03 13:01:36.584
LC3b,2008-11-03 13:12:13.584
LC3b,2008-11-03 13:23:23.584
LC3b,2008-11-03 13:34:24.584
LC3b,2008-11-03 13:45:42.584
LC3b,2008-11-03 14:06:20.584
LC3b,2008-11-03 14:17:47.584
LC3b,2008-11-03 14:29:22.584
LC3c,2008-11-03 14:51:51.584
LC3c,2008-11-03 15:15:35.584
LC3c,2008-11-03 15:33:53.584
LC3c,2008-11-03 15:56:43.584
LC3c,2008-11-03 16:24:23.584
LC3c,2008-11-04 08:58:03.175
LC3c,2008-11-04 09:21:48.175
LC3c,2008-11-04 09:47:33.175
LC3c,2008-11-04 10:15:43.175
LC3c,2008-11-04 10:58:06.175
LC3c,2008-11-04 11:26:04.175
LC3c,2008-11-04 11:54:32.175
LC3c,2008-11-04 12:21:42.175
LC3c,2008-11-04 12:48:46.175
LC3c,2008-11-04 13:14:41.175
LC3c,2008-11-04 13:43:38.175
